,Time of Measurement,Weight(lb),BMI,Body Fat(%),Body Type,Fat-free Body Weight(lb),Subcutaneous Fat(%),Visceral Fat,Body Water(%),Skeletal Muscle(%),Muscle Mass(lb),Muscle storage ability level,Bone Mass(lb),Protein(%),BMR(kcal),Metabolic Age
254,July 11， 2020 at 7:59:12 AM,163.6,24.2,13.6,Normal,141.4,11.6,7.0,62.4,55.8,134.4,,7.0,19.7,1755.0,51.0
255,July 9， 2020 at 7:14:54 AM,164.0,24.3,13.6,Normal,141.6,11.6,7.0,62.4,55.8,134.6,,7.0,19.7,1757.0,51.0
256,July 9， 2020 at 6:58:53 AM,166.6,24.7,13.9,Normal,143.4,11.8,7.0,62.1,55.6,136.2,,7.2,19.6,1775.0,51.0
257,March 17， 2020 at 7:12:57 AM,164.4,24.3,13.7,Normal,142.0,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1760.0,50.0
258,March 13， 2020 at 7:06:09 AM,166.4,24.6,13.9,Normal,143.2,11.7,7.0,62.2,55.6,136.2,,7.2,19.6,1773.0,50.0
259,March 12， 2020 at 7:07:08 AM,165.4,24.5,13.8,Normal,142.6,11.7,7.0,62.3,55.7,135.4,,7.2,19.7,1767.0,50.0
260,March 11， 2020 at 7:15:54 AM,165.2,24.5,13.8,Normal,142.6,11.7,7.0,62.3,55.7,135.4,,7.2,19.7,1766.0,50.0
261,March 10， 2020 at 6:51:11 AM,167.4,24.8,14.0,Normal,144.0,11.8,7.0,62.1,55.5,136.8,,7.2,19.6,1780.0,50.0
262,March 5， 2020 at 7:15:16 AM,162.6,24.1,13.5,Normal,140.8,11.5,6.0,62.5,55.9,133.6,,7.0,19.7,1748.0,50.0
263,March 4， 2020 at 5:41:55 AM,164.0,24.3,13.6,Normal,141.6,11.6,7.0,62.4,55.8,134.6,,7.0,19.7,1758.0,50.0
264,March 3， 2020 at 5:11:07 AM,164.2,24.3,13.6,Normal,141.8,11.6,7.0,62.4,55.8,134.8,,7.0,19.7,1759.0,50.0
265,February 28， 2020 at 6:58:13 AM,163.4,24.2,13.6,Normal,141.4,11.5,7.0,62.4,55.8,134.2,,7.0,19.7,1754.0,50.0
266,February 27， 2020 at 7:21:39 AM,163.0,24.1,13.5,Normal,141.0,11.5,7.0,62.4,55.9,134.0,,7.0,19.7,1751.0,50.0
267,February 26， 2020 at 6:16:49 AM,163.0,24.1,13.5,Normal,141.0,11.5,7.0,62.5,55.9,134.0,,7.0,19.7,1751.0,50.0
268,February 25， 2020 at 6:50:19 AM,161.8,24.0,13.4,Normal,140.2,11.4,6.0,62.6,56.0,133.2,,7.0,19.8,1742.0,49.0
269,February 19， 2020 at 6:44:31 AM,163.4,24.2,13.6,Normal,141.2,11.5,7.0,62.4,55.8,134.2,,7.0,19.7,1753.0,50.0
270,February 18， 2020 at 6:32:32 AM,165.6,24.5,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1768.0,50.0
271,February 13， 2020 at 6:59:09 AM,162.4,24.0,13.4,Normal,140.6,11.4,6.0,62.5,55.9,133.6,,7.0,19.7,1747.0,50.0
272,February 11， 2020 at 6:07:23 AM,164.0,24.3,13.6,Normal,141.6,11.6,7.0,62.4,55.8,134.6,,7.0,19.7,1758.0,50.0
273,February 10， 2020 at 7:00:08 AM,163.2,24.2,13.5,Normal,141.2,11.5,7.0,62.4,55.9,134.2,,7.0,19.7,1753.0,50.0
