Day,Time,Group,Metric,Unit,Amount
2021-10-02,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-10-03,,Misc,"Sleep (Oura)",hours,8.1
2021-10-03,,Misc,"Heart Rate (Oura)",bpm,61.0
2021-10-04,,Misc,"Sleep (Oura)",hours,6.88333
2021-10-04,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-10-05,,Misc,"Sleep (Oura)",hours,6.35
2021-10-05,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-10-06,,Misc,"Sleep (Oura)",hours,6.05833
2021-10-06,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-10-07,,Misc,"Sleep (Oura)",hours,6.63333
2021-10-07,,Misc,"Heart Rate (Oura)",bpm,52.0
2021-10-08,,Misc,"Sleep (Oura)",hours,6.9
2021-10-08,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-10-09,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-10-09,,Misc,"Sleep (Oura)",hours,7.525
2021-10-10,,Misc,"Sleep (Oura)",hours,7.39167
2021-10-10,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-10-11,,Misc,"Sleep (Oura)",hours,7.41667
2021-10-11,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-10-12,,Misc,"Sleep (Oura)",hours,6.625
2021-10-12,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-10-13,,Misc,"Sleep (Oura)",hours,6.60833
2021-10-13,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-10-14,,Misc,"Sleep (Oura)",hours,6.53333
2021-10-14,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-10-15,,Misc,"Sleep (Oura)",hours,6.10833
2021-10-15,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-10-16,,Misc,"Sleep (Oura)",hours,9.675
2021-10-16,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-10-17,,Misc,"Sleep (Oura)",hours,7.90833
2021-10-17,,Misc,"Heart Rate (Oura)",bpm,51.0
2021-10-18,,Misc,"Sleep (Oura)",hours,7.825
2021-10-18,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-10-19,,Misc,"Sleep (Oura)",hours,7.19167
2021-10-19,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-10-20,,Misc,"Sleep (Oura)",hours,6.8
2021-10-20,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-10-21,,Misc,"Sleep (Oura)",hours,5.475
2021-10-21,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-10-22,,Misc,"Sleep (Oura)",hours,7.14167
2021-10-22,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-10-23,,Misc,"Sleep (Oura)",hours,8.40833
2021-10-23,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-10-24,,Misc,"Sleep (Oura)",hours,7.78333
2021-10-24,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-10-25,,Misc,"Sleep (Oura)",hours,6.75833
2021-10-25,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-10-26,,Misc,"Sleep (Oura)",hours,6.13333
2021-10-26,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-10-27,,Misc,"Sleep (Oura)",hours,6.525
2021-10-27,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-10-28,,Misc,"Sleep (Oura)",hours,7.04167
2021-10-28,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-10-29,,Misc,"Sleep (Oura)",hours,6.70833
2021-10-29,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-10-30,,Misc,"Sleep (Oura)",hours,7.3
2021-10-30,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-10-31,,Misc,"Sleep (Oura)",hours,8.59167
2021-10-31,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-11-01,,Misc,"Sleep (Oura)",hours,6.825
2021-11-01,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-11-02,,Misc,"Sleep (Oura)",hours,7.06667
2021-11-02,,Misc,"Heart Rate (Oura)",bpm,51.0
2021-11-03,,Misc,"Sleep (Oura)",hours,7.2
2021-11-03,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-11-04,,Misc,"Sleep (Oura)",hours,4.925
2021-11-04,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-11-05,,Misc,"Sleep (Oura)",hours,6.96667
2021-11-05,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-11-06,,Misc,"Sleep (Oura)",hours,8.61667
2021-11-06,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-11-07,,Misc,"Sleep (Oura)",hours,7.73333
2021-11-07,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-11-08,,Misc,"Sleep (Oura)",hours,7.44167
2021-11-08,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-11-09,,Misc,"Sleep (Oura)",hours,6.7
2021-11-09,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-11-10,,Misc,"Sleep (Oura)",hours,6.96667
2021-11-10,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-11-11,,Misc,"Sleep (Oura)",hours,7.8
2021-11-11,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-11-12,,Misc,"Sleep (Oura)",hours,6.2
2021-11-12,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-11-13,,Misc,"Sleep (Oura)",hours,7.04167
2021-11-13,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-11-14,,Misc,"Sleep (Oura)",hours,7.775
2021-11-14,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-11-15,,Misc,"Sleep (Oura)",hours,6.74167
2021-11-15,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-11-16,,Misc,"Sleep (Oura)",hours,5.64167
2021-11-16,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-11-17,,Misc,"Sleep (Oura)",hours,7.0
2021-11-17,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-11-18,,Misc,"Sleep (Oura)",hours,7.375
2021-11-18,,Misc,"Heart Rate (Oura)",bpm,62.0
2021-11-19,,Misc,"Sleep (Oura)",hours,6.825
2021-11-19,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-11-20,,Misc,"Sleep (Oura)",hours,7.55
2021-11-20,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-11-21,,Misc,"Sleep (Oura)",hours,8.125
2021-11-21,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-11-22,,Misc,"Sleep (Oura)",hours,6.69167
2021-11-22,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-11-23,,Misc,"Sleep (Oura)",hours,7.14167
2021-11-23,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-11-24,,Misc,"Sleep (Oura)",hours,6.59167
2021-11-24,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-11-25,,Misc,"Sleep (Oura)",hours,7.31667
2021-11-25,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-11-26,,Misc,"Sleep (Oura)",hours,7.79167
2021-11-26,,Misc,"Heart Rate (Oura)",bpm,61.0
2021-11-27,,Misc,"Sleep (Oura)",hours,8.825
2021-11-27,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-11-28,,Misc,"Sleep (Oura)",hours,7.65
2021-11-28,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-11-29,,Misc,"Sleep (Oura)",hours,6.66667
2021-11-29,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-11-30,,Misc,"Sleep (Oura)",hours,6.91667
2021-11-30,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-12-01,,Misc,"Sleep (Oura)",hours,6.24167
2021-12-01,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-12-02,,Misc,"Sleep (Oura)",hours,6.51667
2021-12-02,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-12-03,,Misc,"Sleep (Oura)",hours,6.81667
2021-12-03,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-12-04,,Misc,"Sleep (Oura)",hours,5.65833
2021-12-04,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-12-07,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-12-07,,Misc,"Sleep (Oura)",hours,7.49167
2021-12-09,,Misc,"Sleep (Oura)",hours,5.26667
2021-12-09,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-12-10,,Misc,"Sleep (Oura)",hours,6.59167
2021-12-10,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-12-11,,Misc,"Sleep (Oura)",hours,6.51667
2021-12-11,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-12-12,,Misc,"Sleep (Oura)",hours,7.125
2021-12-12,,Misc,"Heart Rate (Oura)",bpm,64.0
2021-12-15,,Misc,"Sleep (Oura)",hours,6.375
2021-12-15,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-12-16,,Misc,"Sleep (Oura)",hours,6.91667
2021-12-16,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-12-17,,Misc,"Sleep (Oura)",hours,6.81667
2021-12-17,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-12-18,,Misc,"Sleep (Oura)",hours,7.53333
2021-12-18,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-12-19,,Misc,"Sleep (Oura)",hours,8.24167
2021-12-19,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-12-20,,Misc,"Sleep (Oura)",hours,7.03333
2021-12-20,,Misc,"Heart Rate (Oura)",bpm,63.0
2021-12-21,,Misc,"Sleep (Oura)",hours,6.45
2021-12-21,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-12-22,,Misc,"Sleep (Oura)",hours,6.8
2021-12-22,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-12-25,,Misc,"Sleep (Oura)",hours,6.35
2021-12-25,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-12-26,,Misc,"Sleep (Oura)",hours,8.41667
2021-12-26,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-12-28,,Misc,"Sleep (Oura)",hours,7.36667
2021-12-28,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-12-29,,Misc,"Sleep (Oura)",hours,8.30833
2021-12-29,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-12-30,,Misc,"Sleep (Oura)",hours,10.1
2021-12-30,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-12-31,,Misc,"Sleep (Oura)",hours,6.6
2021-12-31,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-01-02,,Misc,"Sleep (Oura)",hours,9.8
2022-01-02,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-01-03,,Misc,"Sleep (Oura)",hours,7.34167
2022-01-03,,Misc,"Heart Rate (Oura)",bpm,60.0
2022-01-04,,Misc,"Sleep (Oura)",hours,8.525
2022-01-04,,Misc,"Heart Rate (Oura)",bpm,61.0
2022-01-05,,Misc,"Heart Rate (Oura)",bpm,53.0
2022-01-05,,Misc,"Sleep (Oura)",hours,6.70833
2022-01-06,,Misc,"Sleep (Oura)",hours,7.225
2022-01-06,,Misc,"Heart Rate (Oura)",bpm,60.0
2022-01-07,,Misc,"Sleep (Oura)",hours,6.80833
2022-01-07,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-01-08,,Misc,"Sleep (Oura)",hours,8.85833
2022-01-08,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-01-09,,Misc,"Sleep (Oura)",hours,7.675
2022-01-09,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-01-10,,Misc,"Sleep (Oura)",hours,7.23333
2022-01-10,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-01-11,,Misc,"Sleep (Oura)",hours,6.60833
2022-01-11,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-01-12,,Misc,"Sleep (Oura)",hours,7.275
2022-01-12,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-01-13,,Misc,"Sleep (Oura)",hours,7.09167
2022-01-13,,Misc,"Heart Rate (Oura)",bpm,54.0
2022-01-14,,Misc,"Sleep (Oura)",hours,7.00833
2022-01-14,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-01-15,,Misc,"Sleep (Oura)",hours,7.55
2022-01-15,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-01-16,,Misc,"Sleep (Oura)",hours,6.81667
2022-01-16,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-01-17,,Misc,"Sleep (Oura)",hours,7.45
2022-01-17,,Misc,"Heart Rate (Oura)",bpm,59.0
2022-01-18,,Misc,"Sleep (Oura)",hours,6.85833
2022-01-18,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-01-19,,Misc,"Sleep (Oura)",hours,7.16667
2022-01-19,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-01-20,,Misc,"Sleep (Oura)",hours,6.41667
2022-01-20,,Misc,"Heart Rate (Oura)",bpm,61.0
2022-01-21,,Misc,"Sleep (Oura)",hours,6.25
2022-01-21,,Misc,"Heart Rate (Oura)",bpm,62.0
2022-01-22,,Misc,"Sleep (Oura)",hours,7.98333
2022-01-22,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-01-23,,Misc,"Sleep (Oura)",hours,6.98333
2022-01-23,,Misc,"Heart Rate (Oura)",bpm,59.0
2022-01-24,,Misc,"Sleep (Oura)",hours,7.0
2022-01-24,,Misc,"Heart Rate (Oura)",bpm,54.0
2022-01-25,,Misc,"Sleep (Oura)",hours,7.25833
2022-01-25,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-01-26,,Misc,"Sleep (Oura)",hours,7.50833
2022-01-26,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-01-27,,Misc,"Sleep (Oura)",hours,7.11667
2022-01-27,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-01-28,,Misc,"Sleep (Oura)",hours,7.28333
2022-01-28,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-01-29,,Misc,"Sleep (Oura)",hours,8.46667
2022-01-29,,Misc,"Heart Rate (Oura)",bpm,54.0
2022-01-30,,Misc,"Sleep (Oura)",hours,8.6
2022-01-30,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-01-31,,Misc,"Sleep (Oura)",hours,7.75833
2022-01-31,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-02-01,,Misc,"Sleep (Oura)",hours,6.54167
2022-02-01,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-02-02,,Misc,"Sleep (Oura)",hours,7.15833
2022-02-02,,Misc,"Heart Rate (Oura)",bpm,59.0
2022-02-03,,Misc,"Sleep (Oura)",hours,7.8
2022-02-03,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-02-04,,Misc,"Sleep (Oura)",hours,7.01667
2022-02-04,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-02-05,,Misc,"Sleep (Oura)",hours,7.6
2022-02-05,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-02-06,,Misc,"Sleep (Oura)",hours,7.93333
2022-02-06,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-02-07,,Misc,"Sleep (Oura)",hours,7.20833
2022-02-07,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-02-08,,Misc,"Sleep (Oura)",hours,7.75833
2022-02-08,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-02-09,,Misc,"Sleep (Oura)",hours,7.55833
2022-02-09,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-02-10,,Misc,"Sleep (Oura)",hours,6.84167
2022-02-10,,Misc,"Heart Rate (Oura)",bpm,54.0
2022-02-11,,Misc,"Sleep (Oura)",hours,7.23333
2022-02-11,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-02-12,,Misc,"Sleep (Oura)",hours,8.21667
2022-02-12,,Misc,"Heart Rate (Oura)",bpm,53.0
2022-02-13,,Misc,"Sleep (Oura)",hours,8.03333
2022-02-13,,Misc,"Heart Rate (Oura)",bpm,52.0
2022-02-14,,Misc,"Sleep (Oura)",hours,7.95
2022-02-14,,Misc,"Heart Rate (Oura)",bpm,54.0
2022-02-15,,Misc,"Sleep (Oura)",hours,7.91667
2022-02-15,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-02-16,,Misc,"Sleep (Oura)",hours,6.325
2022-02-16,,Misc,"Heart Rate (Oura)",bpm,53.0
2022-02-17,,Misc,"Sleep (Oura)",hours,7.01667
2022-02-17,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-02-18,,Misc,"Sleep (Oura)",hours,7.19167
2022-02-18,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-02-19,,Misc,"Sleep (Oura)",hours,8.06667
2022-02-19,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-02-20,,Misc,"Sleep (Oura)",hours,6.725
2022-02-20,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-02-21,,Misc,"Sleep (Oura)",hours,8.5
2022-02-21,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-02-22,,Misc,"Sleep (Oura)",hours,6.18333
2022-02-22,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-02-24,,Misc,"Sleep (Oura)",hours,6.75
2022-02-24,,Misc,"Heart Rate (Oura)",bpm,51.0
2022-02-25,,Misc,"Sleep (Oura)",hours,7.30833
2022-02-25,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-02-26,,Misc,"Sleep (Oura)",hours,7.56667
2022-02-26,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-02-27,,Misc,"Sleep (Oura)",hours,7.74167
2022-02-27,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-02-28,,Misc,"Sleep (Oura)",hours,7.08333
2022-02-28,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-03-01,,Misc,"Sleep (Oura)",hours,6.6
2022-03-01,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-03-02,,Misc,"Sleep (Oura)",hours,6.76667
2022-03-02,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-03-03,,Misc,"Sleep (Oura)",hours,6.2
2022-03-03,,Misc,"Heart Rate (Oura)",bpm,54.0
2022-03-04,,Misc,"Sleep (Oura)",hours,6.18333
2022-03-04,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-03-05,,Misc,"Sleep (Oura)",hours,7.9
2022-03-05,,Misc,"Heart Rate (Oura)",bpm,59.0
2022-03-06,,Misc,"Sleep (Oura)",hours,8.20833
2022-03-06,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-03-07,,Misc,"Sleep (Oura)",hours,6.425
2022-03-07,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-03-08,,Misc,"Sleep (Oura)",hours,7.15833
2022-03-08,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-03-09,,Misc,"Sleep (Oura)",hours,6.45833
2022-03-09,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-03-10,,Misc,"Sleep (Oura)",hours,7.975
2022-03-10,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-03-11,,Misc,"Sleep (Oura)",hours,7.29167
2022-03-11,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-03-12,,Misc,"Sleep (Oura)",hours,6.99167
2022-03-12,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-03-13,,Misc,"Sleep (Oura)",hours,6.725
2022-03-13,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-03-15,,Misc,"Sleep (Oura)",hours,7.63333
2022-03-15,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-03-16,,Misc,"Sleep (Oura)",hours,6.69167
2022-03-16,,Misc,"Heart Rate (Oura)",bpm,61.0
2022-03-17,,Misc,"Sleep (Oura)",hours,7.29167
2022-03-17,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-03-18,,Misc,"Sleep (Oura)",hours,6.93333
2022-03-18,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-03-19,,Misc,"Sleep (Oura)",hours,6.74167
2022-03-19,,Misc,"Heart Rate (Oura)",bpm,61.0
2022-03-21,,Misc,"Sleep (Oura)",hours,7.33333
2022-03-21,,Misc,"Heart Rate (Oura)",bpm,60.0
2022-03-22,,Misc,"Sleep (Oura)",hours,7.56667
2022-03-22,,Misc,"Heart Rate (Oura)",bpm,59.0
2022-03-23,,Misc,"Sleep (Oura)",hours,7.875
2022-03-23,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-03-24,,Misc,"Sleep (Oura)",hours,7.14167
2022-03-24,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-03-25,,Misc,"Sleep (Oura)",hours,7.31667
2022-03-25,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-03-26,,Misc,"Sleep (Oura)",hours,6.68333
2022-03-26,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-03-27,,Misc,"Sleep (Oura)",hours,6.96667
2022-03-27,,Misc,"Heart Rate (Oura)",bpm,60.0
2022-03-28,,Misc,"Sleep (Oura)",hours,5.60833
2022-03-28,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-03-29,,Misc,"Sleep (Oura)",hours,6.45
2022-03-29,,Misc,"Heart Rate (Oura)",bpm,53.0
2022-03-30,,Misc,"Sleep (Oura)",hours,7.13333
2022-03-30,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-03-31,,Misc,"Sleep (Oura)",hours,7.35833
2022-03-31,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-04-01,,Misc,"Sleep (Oura)",hours,6.05833
2022-04-01,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-04-02,,Misc,"Sleep (Oura)",hours,8.43333
2022-04-02,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-04-03,,Misc,"Sleep (Oura)",hours,7.49167
2022-04-03,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-04-04,,Misc,"Sleep (Oura)",hours,7.775
2022-04-04,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-04-05,,Misc,"Sleep (Oura)",hours,6.60833
2022-04-05,,Misc,"Heart Rate (Oura)",bpm,62.0
2022-04-06,,Misc,"Sleep (Oura)",hours,7.20833
2022-04-06,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-04-07,,Misc,"Sleep (Oura)",hours,7.29167
2022-04-07,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-04-08,,Misc,"Sleep (Oura)",hours,7.26667
2022-04-08,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-04-09,,Misc,"Sleep (Oura)",hours,7.28333
2022-04-09,,Misc,"Heart Rate (Oura)",bpm,54.0
2022-04-10,,Misc,"Sleep (Oura)",hours,8.03333
2022-04-10,,Misc,"Heart Rate (Oura)",bpm,53.0
2022-04-11,,Misc,"Sleep (Oura)",hours,7.76667
2022-04-11,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-04-12,,Misc,"Sleep (Oura)",hours,6.96667
2022-04-12,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-04-13,,Misc,"Sleep (Oura)",hours,6.9
2022-04-13,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-04-14,,Misc,"Sleep (Oura)",hours,7.71667
2022-04-14,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-04-15,,Misc,"Sleep (Oura)",hours,5.9
2022-04-15,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-04-16,,Misc,"Sleep (Oura)",hours,9.60833
2022-04-16,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-04-17,,Misc,"Sleep (Oura)",hours,6.48333
2022-04-17,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-04-18,,Misc,"Sleep (Oura)",hours,7.95
2022-04-18,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-04-19,,Misc,"Sleep (Oura)",hours,6.95833
2022-04-19,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-04-20,,Misc,"Sleep (Oura)",hours,6.80833
2022-04-20,,Misc,"Heart Rate (Oura)",bpm,59.0
2022-04-21,,Misc,"Sleep (Oura)",hours,7.13333
2022-04-21,,Misc,"Heart Rate (Oura)",bpm,63.0
2022-04-22,,Misc,"Sleep (Oura)",hours,6.21667
2022-04-22,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-04-23,,Misc,"Sleep (Oura)",hours,5.09167
2022-04-23,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-04-24,,Misc,"Sleep (Oura)",hours,9.53333
2022-04-24,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-04-25,,Misc,"Sleep (Oura)",hours,7.21667
2022-04-25,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-04-26,,Misc,"Sleep (Oura)",hours,7.13333
2022-04-26,,Misc,"Heart Rate (Oura)",bpm,61.0
2022-04-27,,Misc,"Sleep (Oura)",hours,6.63333
2022-04-27,,Misc,"Heart Rate (Oura)",bpm,64.0
2022-04-28,,Misc,"Sleep (Oura)",hours,6.01667
2022-04-28,,Misc,"Heart Rate (Oura)",bpm,60.0
2022-04-29,,Misc,"Sleep (Oura)",hours,5.95
2022-04-29,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-04-30,,Misc,"Sleep (Oura)",hours,6.55833
2022-04-30,,Misc,"Heart Rate (Oura)",bpm,63.0
2022-05-01,,Misc,"Sleep (Oura)",hours,6.59167
2022-05-01,,Misc,"Heart Rate (Oura)",bpm,64.0
2022-05-02,,Misc,"Sleep (Oura)",hours,7.85833
2022-05-02,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-05-03,,Misc,"Sleep (Oura)",hours,6.43333
2022-05-03,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-05-04,,Misc,"Sleep (Oura)",hours,6.90833
2022-05-04,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-05-05,,Misc,"Sleep (Oura)",hours,6.90833
2022-05-05,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-05-06,,Misc,"Sleep (Oura)",hours,6.99167
2022-05-06,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-05-07,,Misc,"Sleep (Oura)",hours,7.85833
2022-05-07,,Misc,"Heart Rate (Oura)",bpm,58.0
2022-05-08,,Misc,"Sleep (Oura)",hours,7.36667
2022-05-08,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-05-09,,Misc,"Sleep (Oura)",hours,7.1
2022-05-09,,Misc,"Heart Rate (Oura)",bpm,53.0
2022-05-10,,Misc,"Sleep (Oura)",hours,7.75
2022-05-10,,Misc,"Heart Rate (Oura)",bpm,53.0
2022-05-11,,Misc,"Sleep (Oura)",hours,7.35
2022-05-11,,Misc,"Heart Rate (Oura)",bpm,61.0
2022-05-12,,Misc,"Sleep (Oura)",hours,5.825
2022-05-12,,Misc,"Heart Rate (Oura)",bpm,60.0
2022-05-13,,Misc,"Sleep (Oura)",hours,7.23333
2022-05-13,,Misc,"Heart Rate (Oura)",bpm,56.0
2022-05-14,,Misc,"Sleep (Oura)",hours,8.03333
2022-05-14,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-05-15,,Misc,"Sleep (Oura)",hours,7.95833
2022-05-15,,Misc,"Heart Rate (Oura)",bpm,62.0
2022-05-16,,Misc,"Sleep (Oura)",hours,7.125
2022-05-16,,Misc,"Heart Rate (Oura)",bpm,53.0
2022-05-17,,Misc,"Sleep (Oura)",hours,6.33333
2022-05-17,,Misc,"Heart Rate (Oura)",bpm,57.0
2022-05-18,,Misc,"Sleep (Oura)",hours,6.825
2022-05-18,,Misc,"Heart Rate (Oura)",bpm,55.0
2022-05-19,,Misc,"Sleep (Oura)",hours,6.43333
2022-05-19,,Misc,"Heart Rate (Oura)",bpm,59.0
2022-05-20,,Misc,"Sleep (Oura)",hours,6.825
2022-05-20,,Misc,"Heart Rate (Oura)",bpm,52.0
2022-05-21,,Misc,"Sleep (Oura)",hours,6.6
2022-05-21,,Misc,"Heart Rate (Oura)",bpm,54.0
