Day,Time,Group,Metric,Unit,Amount
2021-01-22,11:56 PM,Misc,"Heart Rate (Apple Health)",bpm,59.0
2021-01-23,11:57 PM,Misc,"Heart Rate (Apple Health)",bpm,61.0
2021-01-24,8:52 PM,Misc,"Heart Rate (Apple Health)",bpm,67.0
2021-01-25,11:29 AM,Misc,"Heart Rate (Apple Health)",bpm,66.0
2021-01-26,7:21 AM,Misc,"Body Fat (Apple Health)",%,14.1497
2021-01-26,7:21 AM,Misc,"Weight (Apple Health)",lbs,168.6
2021-01-26,8:49 PM,Misc,"Heart Rate (Apple Health)",bpm,81.0
2021-01-28,,Misc,"Sleep (Oura)",hours,8.0
2021-01-28,,Misc,"Heart Rate (Oura)",bpm,61.0
2021-01-29,,Misc,"Sleep (Oura)",hours,7.65833
2021-01-29,,Misc,"Heart Rate (Oura)",bpm,61.0
2021-01-31,,Misc,"Sleep (Oura)",hours,7.50833
2021-01-31,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-02-01,,Misc,"Sleep (Oura)",hours,7.16667
2021-02-01,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-02-02,,Misc,"Sleep (Oura)",hours,7.80833
